model,filename,download_url,opendap_url
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_195001-201412.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_185001-194912.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r1i1p1f1/Amon/tas/gr1/v20190726/tas_Amon_GFDL-ESM4_historical_r1i1p1f1_gr1_195001-201412.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_185001-194912.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r2i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r2i1p1f1_gr1_195001-201412.nc
GFDL-ESM4,tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/NOAA-GFDL/GFDL-ESM4/historical/r3i1p1f1/Amon/tas/gr1/v20180701/tas_Amon_GFDL-ESM4_historical_r3i1p1f1_gr1_185001-194912.nc
