model,filename,download_url,opendap_url,Varient,period,Var,grid,timeStep,start,stop,r,i,p,f
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,r1i1p1f3,historical,tas,gn,mon,1850,1949,1,1,1,3
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,r1i1p1f3,historical,tas,gn,mon,1950,2014,1,1,1,3
HadGEM3-GC31-LL,rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,r1i1p1f3,historical,rsdt,gn,mon,1850,1949,1,1,1,3
HadGEM3-GC31-LL,rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://aims3.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,r1i1p1f3,historical,rsdt,gn,mon,1950,2014,1,1,1,3
HadGEM3-GC31-LL,rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,r1i1p1f3,historical,rsdt,gn,mon,1850,1949,1,1,1,3
HadGEM3-GC31-LL,rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/rsdt/gn/v20190624/rsdt_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,r1i1p1f3,historical,rsdt,gn,mon,1950,2014,1,1,1,3
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,r1i1p1f3,historical,tas,gn,mon,1850,1949,1,1,1,3
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/fileServer/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf-data04.diasjp.net/thredds/dodsC/esg_dataroot/CMIP6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,r1i1p1f3,historical,tas,gn,mon,1950,2014,1,1,1,3
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_185001-194912.nc,r1i1p1f3,historical,tas,gn,mon,1850,1949,1,1,1,3
HadGEM3-GC31-LL,tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf3.dkrz.de/thredds/fileServer/cmip6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/MOHC/HadGEM3-GC31-LL/historical/r1i1p1f3/Amon/tas/gn/v20190624/tas_Amon_HadGEM3-GC31-LL_historical_r1i1p1f3_gn_195001-201412.nc,r1i1p1f3,historical,tas,gn,mon,1950,2014,1,1,1,3
