model,filename,download_url,opendap_url,Varient,period,Var,grid,timeStep,start,stop,r,i,p,f
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,r1i1p1f1,historical,rsdt,gn,mon,1850,1859,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_185001-185912.nc,r1i1p1f1,historical,rsdt,gn,mon,1850,1859,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,r1i1p1f1,historical,rsdt,gn,mon,1860,1869,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_186001-186912.nc,r1i1p1f1,historical,rsdt,gn,mon,1860,1869,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,r1i1p1f1,historical,rsdt,gn,mon,1870,1879,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_187001-187912.nc,r1i1p1f1,historical,rsdt,gn,mon,1870,1879,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,r1i1p1f1,historical,rsdt,gn,mon,1880,1889,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_188001-188912.nc,r1i1p1f1,historical,rsdt,gn,mon,1880,1889,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,https://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,https://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,r1i1p1f1,historical,rsdt,gn,mon,1890,1899,1,1,1,1
NorESM2-MM,rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,http://esgf-data1.llnl.gov/thredds/fileServer/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,http://esgf-data1.llnl.gov/thredds/dodsC/css03_data/CMIP6/CMIP/NCC/NorESM2-MM/historical/r1i1p1f1/Amon/rsdt/gn/v20191108/rsdt_Amon_NorESM2-MM_historical_r1i1p1f1_gn_189001-189912.nc,r1i1p1f1,historical,rsdt,gn,mon,1890,1899,1,1,1,1
